,Built tree,Time elapsed insertion,Tree heigth,Number of nodes,Mean,Median,Variance,Standard deviation,Total disk access,Time elapsed search,Size KB
1, 24790, 0.031, 2, 3, 0.11246744791666667, 0.121826171875, 8.746584256490071E-4, 0.02957462469160018, 1, 0.016,1.34
10, 24793, 0.063, 2, 3, 0.173095703125, 0.138916015625, 0.0035047531127929688, 0.05920095533682686, 1, 0.0,2.07
100, 24796, 0.733, 2, 3, 0.685791015625, 0.873779296875, 0.23160576820373535, 0.4812543695424857, 10, 0.015,8.22
1000, 24799, 14.322, 2, 15, 1.2611165364583334, 1.130126953125, 0.1288695664632888, 0.3589840755009737, 143, 0.203,75.6
10000, 24915, 234.622, 3, 153, 1.2392131331699345, 1.181396484375, 0.04600407295941409, 0.214485600820694, 1036, 0.515,758
100000, 25068, 3202.315, 3, 1526, 1.2421830203555047, 1.181396484375, 0.03789251450578654, 0.19465999718942395, 12680, 15.412,7400
200000, 26594, 6022.625, 3, 3070, 1.2355521236258142, 1.181396484375, 0.03497414377196957, 0.18701375289526054, 20955, 39.781,14800
